tp,fp,fn,tn
27,4,7,100
29,30,4,70
39,2,25,190
65,9,33,286
88,152,10,144
48,45,8,123
13,4,14,77
54,54,16,157
28,7,32,175
16,5,15,88
75,129,2,102
38,5,20,169
29,32,2,62
19,1,12,94
38,12,45,237
21,8,8,79
77,103,9,156
52,35,19,179
34,5,31,192
38,3,60,291
70,89,7,142
33,33,2,73
75,91,4,148
19,4,7,74
49,17,8,156
75,93,8,156
30,6,31,177
30,7,10,114
35,3,32,198
24,48,2,32
73,80,12,175
15,5,12,76
27,10,10,101
79,59,2,185
14,3,13,78
18,2,17,104
14,1,19,98
31,9,49,232
40,51,3,79
37,57,4,67
27,36,4,57
72,15,26,280
60,11,31,263
35,20,10,115
69,33,21,239
39,6,39,228
51,19,48,279
32,5,44,223
32,1,22,162
61,65,21,183
45,12,41,247
76,39,16,238
43,95,10,64
41,17,9,134
71,57,3,165
28,9,26,154
52,82,4,88
47,8,46,271
19,1,13,97
50,9,44,273
